GO:0000001	mitochondrion inheritance
GO:0060254	regulation of N-terminal protein palmitoylation
GO:0060255	regulation of macromolecule metabolic process
GO:0060256	regulation of flocculation
GO:0060257	negative regulation of flocculation
GO:0060258	negative regulation of filamentous growth
GO:0060259	regulation of feeding behavior
GO:0060260	regulation of transcription initiation from RNA polymerase II promoter
GO:0060261	positive regulation of transcription initiation from RNA polymerase II promoter
GO:0060262	negative regulation of N-terminal protein palmitoylation
GO:0060263	regulation of respiratory burst
GO:0060264	regulation of respiratory burst involved in inflammatory response
GO:0060265	positive regulation of respiratory burst involved in inflammatory response
GO:0060266	negative regulation of respiratory burst involved in inflammatory response
GO:0060267	positive regulation of respiratory burst
GO:0060268	negative regulation of respiratory burst
GO:0060269	centripetally migrating follicle cell migration
GO:0060271	cilium morphogenesis
GO:0060272	embryonic skeletal joint morphogenesis
GO:0060274	maintenance of stationary phase
GO:0060275	maintenance of stationary phase in response to starvation
GO:0060278	regulation of ovulation
GO:0060279	positive regulation of ovulation
GO:0060280	negative regulation of ovulation
GO:0060281	regulation of oocyte development
GO:0060282	positive regulation of oocyte development
GO:0060283	negative regulation of oocyte development
GO:0060284	regulation of cell development
GO:0060285	ciliary cell motility
GO:0060287	epithelial cilium movement involved in determination of left/right asymmetry
GO:0060288	formation of a compartment boundary
GO:0060290	transdifferentiation
GO:0060291	long-term synaptic potentiation
GO:0060292	long term synaptic depression
GO:0060294	cilium movement involved in cell motility
GO:0060295	regulation of cilium movement involved in cell motility
GO:0060296	regulation of cilium beat frequency involved in ciliary motility
GO:0060297	regulation of sarcomere organization
GO:0060298	positive regulation of sarcomere organization
GO:0060299	negative regulation of sarcomere organization
GO:0060300	regulation of cytokine activity
GO:0060301	positive regulation of cytokine activity
GO:0060302	negative regulation of cytokine activity
GO:0060303	regulation of nucleosome density
GO:0060304	regulation of phosphatidylinositol dephosphorylation
GO:0060305	regulation of cell diameter
GO:0060306	regulation of membrane repolarization
GO:0060307	regulation of ventricular cardiac muscle cell membrane repolarization
GO:0060309	elastin catabolic process
GO:0060310	regulation of elastin catabolic process
GO:0060311	negative regulation of elastin catabolic process
GO:0060312	regulation of blood vessel remodeling
GO:0060313	negative regulation of blood vessel remodeling
GO:0060314	regulation of ryanodine-sensitive calcium-release channel activity
GO:0060315	negative regulation of ryanodine-sensitive calcium-release channel activity
GO:0060316	positive regulation of ryanodine-sensitive calcium-release channel activity
GO:0060317	cardiac epithelial to mesenchymal transition
GO:0060318	definitive erythrocyte differentiation
GO:0060319	primitive erythrocyte differentiation
GO:0060320	rejection of self pollen
GO:0060321	acceptance of pollen
GO:0060322	head development
GO:0060323	head morphogenesis
GO:0060324	face development
GO:0060325	face morphogenesis
GO:0060326	cell chemotaxis
GO:0060327	cytoplasmic actin-based contraction involved in cell motility
GO:0060328	cytoplasmic actin-based contraction involved in forward cell motility
GO:0060330	regulation of response to interferon-gamma
GO:0060331	negative regulation of response to interferon-gamma
GO:0060332	positive regulation of response to interferon-gamma
GO:0060333	interferon-gamma-mediated signaling pathway
GO:0060334	regulation of interferon-gamma-mediated signaling pathway
GO:0060335	positive regulation of interferon-gamma-mediated signaling pathway
GO:0060336	negative regulation of interferon-gamma-mediated signaling pathway
GO:0060337	type I interferon-mediated signaling pathway
GO:0060338	regulation of type I interferon-mediated signaling pathway
GO:0060339	negative regulation of type I interferon-mediated signaling pathway
GO:0060340	positive regulation of type I interferon-mediated signaling pathway
GO:0060341	regulation of cellular localization
GO:0060343	trabecula formation
GO:0060345	spleen trabecula formation
GO:0060346	bone trabecula formation
GO:0060347	heart trabecula formation
GO:0060348	bone development
GO:0060349	bone morphogenesis
GO:0060350	endochondral bone morphogenesis
GO:0060351	cartilage development involved in endochondral bone morphogenesis
GO:0060352	cell adhesion molecule production
GO:0060353	regulation of cell adhesion molecule production
GO:0060354	negative regulation of cell adhesion molecule production
GO:0060356	leucine import
GO:0060357	regulation of leucine import
GO:0060358	negative regulation of leucine import
GO:0060359	response to ammonium ion
GO:0060360	negative regulation of leucine import in response to ammonium ion
GO:0060361	flight
GO:0060363	cranial suture morphogenesis
GO:0060364	frontal suture morphogenesis
GO:0060365	coronal suture morphogenesis
GO:0060366	lambdoid suture morphogenesis
GO:0060367	sagittal suture morphogenesis
GO:0060368	regulation of Fc receptor mediated stimulatory signaling pathway
GO:0060369	positive regulation of Fc receptor mediated stimulatory signaling pathway
GO:0060370	susceptibility to T cell mediated cytotoxicity
GO:0060371	regulation of atrial cardiac muscle cell membrane depolarization
GO:0060372	regulation of atrial cardiac muscle cell membrane repolarization
GO:0060373	regulation of ventricular cardiac muscle cell membrane depolarization
GO:0060374	mast cell differentiation
GO:0060375	regulation of mast cell differentiation
GO:0060376	positive regulation of mast cell differentiation
GO:0060377	negative regulation of mast cell differentiation
GO:0060378	regulation of brood size
GO:0060379	cardiac muscle cell myoblast differentiation
GO:0060380	regulation of single-stranded telomeric DNA binding
GO:0060381	positive regulation of single-stranded telomeric DNA binding
GO:0060382	regulation of DNA strand elongation
GO:0060383	positive regulation of DNA strand elongation
GO:0060384	innervation
GO:0060385	axonogenesis involved in innervation
GO:0060386	synapse assembly involved in innervation
GO:0060389	pathway-restricted SMAD protein phosphorylation
GO:0060390	regulation of SMAD protein import into nucleus
GO:0060391	positive regulation of SMAD protein import into nucleus
GO:0060392	negative regulation of SMAD protein import into nucleus
GO:0060393	regulation of pathway-restricted SMAD protein phosphorylation
GO:0060394	negative regulation of pathway-restricted SMAD protein phosphorylation
GO:0060395	SMAD protein signal transduction
GO:0060396	growth hormone receptor signaling pathway
GO:0060397	JAK-STAT cascade involved in growth hormone signaling pathway
GO:0060398	regulation of growth hormone receptor signaling pathway
GO:0060399	positive regulation of growth hormone receptor signaling pathway
GO:0060400	negative regulation of growth hormone receptor signaling pathway
GO:0060401	cytosolic calcium ion transport
GO:0060402	calcium ion transport into cytosol
GO:0060404	axonemal microtubule depolymerization
GO:0060405	regulation of penile erection
GO:0060406	positive regulation of penile erection
GO:0060407	negative regulation of penile erection
GO:0060408	regulation of acetylcholine metabolic process
GO:0060409	positive regulation of acetylcholine metabolic process
GO:0060411	cardiac septum morphogenesis
GO:0060412	ventricular septum morphogenesis
GO:0060413	atrial septum morphogenesis
GO:0060414	aorta smooth muscle tissue morphogenesis
GO:0060415	muscle tissue morphogenesis
GO:0060416	response to growth hormone stimulus
GO:0060419	heart growth
GO:0060420	regulation of heart growth
GO:0060421	positive regulation of heart growth
GO:0060425	lung morphogenesis
GO:0060426	lung vasculature development
GO:0060427	lung connective tissue development
GO:0060428	lung epithelium development
GO:0060429	epithelium development
GO:0060430	lung saccule development
GO:0060431	primary lung bud formation
GO:0060432	lung pattern specification process
GO:0060433	bronchus development
GO:0060434	bronchus morphogenesis
GO:0060435	bronchiole development
GO:0060436	bronchiole morphogenesis
GO:0060437	lung growth
GO:0060438	trachea development
GO:0060439	trachea morphogenesis
GO:0060440	trachea formation
GO:0060441	epithelial tube branching involved in lung morphogenesis
GO:0060442	branching involved in prostate gland morphogenesis
GO:0060443	mammary gland morphogenesis
GO:0060444	branching involved in mammary gland duct morphogenesis
GO:0060445	branching involved in salivary gland morphogenesis
GO:0060446	branching involved in open tracheal system development
GO:0060447	bud outgrowth involved in lung branching
GO:0060448	dichotomous subdivision of terminal units involved in lung branching
GO:0060449	bud elongation involved in lung branching
GO:0060450	positive regulation of hindgut contraction
GO:0060452	positive regulation of cardiac muscle contraction
GO:0060453	regulation of gastric acid secretion
GO:0060454	positive regulation of gastric acid secretion
GO:0060455	negative regulation of gastric acid secretion
GO:0060456	positive regulation of digestive system process
GO:0060457	negative regulation of digestive system process
GO:0060458	right lung development
GO:0060459	left lung development
GO:0060460	left lung morphogenesis
GO:0060461	right lung morphogenesis
GO:0060462	lung lobe development
GO:0060463	lung lobe morphogenesis
GO:0060464	lung lobe formation
GO:0060465	pharynx development
GO:0060466	activation of meiosis involved in egg activation
GO:0060467	negative regulation of fertilization
GO:0060468	prevention of polyspermy
GO:0060470	elevation of cytosolic calcium ion concentration involved in egg activation
GO:0060471	cortical granule exocytosis
GO:0060472	positive regulation of cortical granule exocytosis by elevation of cytosolic calcium ion concentration
GO:0060478	acrosomal vesicle exocytosis
GO:0060479	lung cell differentiation
GO:0060480	lung goblet cell differentiation
GO:0060481	lobar bronchus epithelium development
GO:0060482	lobar bronchus development
GO:0060484	lung-associated mesenchyme development
GO:0060485	mesenchyme development
GO:0060486	Clara cell differentiation
GO:0060487	lung epithelial cell differentiation
GO:0060488	orthogonal dichotomous subdivision of terminal units involved in lung branching morphogenesis
GO:0060489	planar dichotomous subdivision of terminal units involved in lung branching morphogenesis
GO:0060490	lateral sprouting involved in lung morphogenesis
GO:0060491	regulation of cell projection assembly
GO:0060492	lung induction
GO:0060495	cell-cell signaling involved in lung development
GO:0060496	mesenchymal-epithelial cell signaling involved in lung development
GO:0060501	positive regulation of epithelial cell proliferation involved in lung morphogenesis
GO:0060502	epithelial cell proliferation involved in lung morphogenesis
GO:0060503	bud dilation involved in lung branching
GO:0060509	Type I pneumocyte differentiation
GO:0060510	Type II pneumocyte differentiation
GO:0060512	prostate gland morphogenesis
GO:0060513	prostatic bud formation
GO:0060516	primary prostatic bud elongation
GO:0060517	epithelial cell proliferation involved in prostatic bud elongation
GO:0060520	activation of prostate induction by androgen receptor signaling pathway
GO:0060523	prostate epithelial cord elongation
GO:0060525	prostate glandular acinus development
GO:0060526	prostate glandular acinus morphogenesis
GO:0060527	prostate epithelial cord arborization involved in prostate glandular acinus morphogenesis
GO:0060528	secretory columnal luminar epithelial cell differentiation involved in prostate glandular acinus development
GO:0060529	squamous basal epithelial stem cell differentiation involved in prostate gland acinus development
GO:0060534	trachea cartilage development
GO:0060535	trachea cartilage morphogenesis
GO:0060536	cartilage morphogenesis
GO:0060537	muscle tissue development
GO:0060538	skeletal muscle organ development
GO:0060539	diaphragm development
GO:0060540	diaphragm morphogenesis
GO:0060541	respiratory system development
GO:0060542	regulation of strand invasion
GO:0060543	negative regulation of strand invasion
GO:0060544	regulation of necroptosis
GO:0060545	positive regulation of necroptosis
GO:0060546	negative regulation of necroptosis
GO:0060547	negative regulation of necrotic cell death
GO:0060548	negative regulation of cell death
GO:0060549	regulation of fructose 1,6-bisphosphate 1-phosphatase activity
GO:0060550	positive regulation of fructose 1,6-bisphosphate 1-phosphatase activity
GO:0060551	regulation of fructose 1,6-bisphosphate metabolic process
GO:0060552	positive regulation of fructose 1,6-bisphosphate metabolic process
GO:0060556	regulation of vitamin D biosynthetic process
GO:0060557	positive regulation of vitamin D biosynthetic process
GO:0060558	regulation of calcidiol 1-monooxygenase activity
GO:0060559	positive regulation of calcidiol 1-monooxygenase activity
GO:0060560	developmental growth involved in morphogenesis
GO:0060561	apoptotic process involved in morphogenesis
GO:0060562	epithelial tube morphogenesis
GO:0060563	neuroepithelial cell differentiation
GO:0060564	negative regulation of mitotic anaphase-promoting complex activity
GO:0060565	inhibition of mitotic anaphase-promoting complex activity
GO:0060566	positive regulation of DNA-dependent transcription, termination
GO:0060567	negative regulation of DNA-dependent transcription, termination
GO:0060568	regulation of peptide hormone processing
GO:0060570	negative regulation of peptide hormone processing
GO:0060571	morphogenesis of an epithelial fold
GO:0060572	morphogenesis of an epithelial bud
GO:0060573	cell fate specification involved in pattern specification
GO:0060574	intestinal epithelial cell maturation
GO:0060575	intestinal epithelial cell differentiation
GO:0060576	intestinal epithelial cell development
GO:0060577	pulmonary vein morphogenesis
GO:0060578	superior vena cava morphogenesis
GO:0060579	ventral spinal cord interneuron fate commitment
GO:0060580	ventral spinal cord interneuron fate determination
GO:0060581	cell fate commitment involved in pattern specification
GO:0060582	cell fate determination involved in pattern specification
GO:0060583	regulation of actin cortical patch localization
GO:0060584	regulation of prostaglandin-endoperoxide synthase activity
GO:0060585	positive regulation of prostaglandin-endoperoxide synthase activity
GO:0060586	multicellular organismal iron ion homeostasis
GO:0060587	regulation of lipoprotein lipid oxidation
GO:0060588	negative regulation of lipoprotein lipid oxidation
GO:0060591	chondroblast differentiation
GO:0060592	mammary gland formation
GO:0060594	mammary gland specification
GO:0060595	fibroblast growth factor receptor signaling pathway involved in mammary gland specification
GO:0060596	mammary placode formation
GO:0060598	dichotomous subdivision of terminal units involved in mammary gland duct morphogenesis
GO:0060599	lateral sprouting involved in mammary gland duct morphogenesis
GO:0060600	dichotomous subdivision of an epithelial terminal unit
GO:0060601	lateral sprouting from an epithelium
GO:0060602	branch elongation of an epithelium
GO:0060603	mammary gland duct morphogenesis
GO:0060605	tube lumen cavitation
GO:0060606	tube closure
GO:0060611	mammary gland fat development
GO:0060612	adipose tissue development
GO:0060613	fat pad development
GO:0060615	mammary gland bud formation
GO:0060618	nipple development
GO:0060620	regulation of cholesterol import
GO:0060621	negative regulation of cholesterol import
GO:0060622	regulation of ascospore wall beta-glucan biosynthetic process
GO:0060623	regulation of chromosome condensation
GO:0060624	regulation of ascospore wall (1->3)-beta-D-glucan biosynthetic process
GO:0060625	regulation of protein deneddylation
GO:0060626	regulation of cullin deneddylation
GO:0060627	regulation of vesicle-mediated transport
GO:0060628	regulation of ER to Golgi vesicle-mediated transport
GO:0060629	regulation of homologous chromosome segregation
GO:0060631	regulation of meiosis I
GO:0060632	regulation of microtubule-based movement
GO:0060633	negative regulation of transcription initiation from RNA polymerase II promoter
GO:0060634	regulation of 4,6-pyruvylated galactose residue biosynthetic process
GO:0060635	positive regulation of (1->3)-beta-D-glucan biosynthetic process
GO:0060638	mesenchymal-epithelial cell signaling
GO:0060644	mammary gland epithelial cell differentiation
GO:0060648	mammary gland bud morphogenesis
GO:0060649	mammary gland bud elongation
GO:0060658	nipple morphogenesis
GO:0060659	nipple sheath formation
GO:0060661	submandibular salivary gland formation
GO:0060662	salivary gland cavitation
GO:0060664	epithelial cell proliferation involved in salivary gland morphogenesis
GO:0060665	regulation of branching involved in salivary gland morphogenesis by mesenchymal-epithelial signaling
GO:0060666	dichotomous subdivision of terminal units involved in salivary gland branching
GO:0060667	branch elongation involved in salivary gland morphogenesis
GO:0060668	regulation of branching involved in salivary gland morphogenesis by extracellular matrix-epithelial cell signaling
GO:0060669	embryonic placenta morphogenesis
GO:0060670	branching involved in labyrinthine layer morphogenesis
GO:0060674	placenta blood vessel development
GO:0060675	ureteric bud morphogenesis
GO:0060676	ureteric bud formation
GO:0060677	ureteric bud elongation
GO:0060678	dichotomous subdivision of terminal units involved in ureteric bud branching
GO:0060681	branch elongation involved in ureteric bud branching
GO:0060683	regulation of branching involved in salivary gland morphogenesis by epithelial-mesenchymal signaling
GO:0060684	epithelial-mesenchymal cell signaling
GO:0060685	regulation of prostatic bud formation
GO:0060686	negative regulation of prostatic bud formation
GO:0060687	regulation of branching involved in prostate gland morphogenesis
GO:0060688	regulation of morphogenesis of a branching structure
GO:0060689	cell differentiation involved in salivary gland development
GO:0060690	epithelial cell differentiation involved in salivary gland development
GO:0060691	epithelial cell maturation involved in salivary gland development
GO:0060693	regulation of branching involved in salivary gland morphogenesis
GO:0060694	regulation of cholesterol transporter activity
GO:0060695	negative regulation of cholesterol transporter activity
GO:0060696	regulation of phospholipid catabolic process
GO:0060697	positive regulation of phospholipid catabolic process
GO:0060699	regulation of endoribonuclease activity
GO:0060700	regulation of ribonuclease activity
GO:0060701	negative regulation of ribonuclease activity
GO:0060702	negative regulation of endoribonuclease activity
GO:0060706	cell differentiation involved in embryonic placenta development
GO:0060707	trophoblast giant cell differentiation
GO:0060708	spongiotrophoblast differentiation
GO:0060709	glycogen cell differentiation involved in embryonic placenta development
GO:0060710	chorio-allantoic fusion
GO:0060711	labyrinthine layer development
GO:0060712	spongiotrophoblast layer development
GO:0060713	labyrinthine layer morphogenesis
GO:0060715	syncytiotrophoblast cell differentiation involved in labyrinthine layer development
GO:0060716	labyrinthine layer blood vessel development
GO:0060717	chorion development
GO:0060718	chorionic trophoblast cell differentiation
GO:0060720	spongiotrophoblast cell proliferation
GO:0060721	regulation of spongiotrophoblast cell proliferation
GO:0060722	cell proliferation involved in embryonic placenta development
GO:0060723	regulation of cell proliferation involved in embryonic placenta development
GO:0060729	intestinal epithelial structure maintenance
GO:0060730	regulation of intestinal epithelial structure maintenance
GO:0060731	positive regulation of intestinal epithelial structure maintenance
GO:0060732	positive regulation of inositol phosphate biosynthetic process
GO:0060733	regulation of eIF2 alpha phosphorylation by amino acid starvation
GO:0060735	regulation of eIF2 alpha phosphorylation by dsRNA
GO:0060736	prostate gland growth
GO:0060737	prostate gland morphogenetic growth
GO:0060738	epithelial-mesenchymal signaling involved in prostate gland development
GO:0060739	mesenchymal-epithelial cell signaling involved in prostate gland development
GO:0060740	prostate gland epithelium morphogenesis
GO:0060741	prostate gland stromal morphogenesis
GO:0060742	epithelial cell differentiation involved in prostate gland development
GO:0060743	epithelial cell maturation involved in prostate gland development
GO:0060744	mammary gland branching involved in thelarche
GO:0060745	mammary gland branching involved in pregnancy
GO:0060746	parental behavior
GO:0060748	tertiary branching involved in mammary gland duct morphogenesis
GO:0060749	mammary gland alveolus development
GO:0060750	epithelial cell proliferation involved in mammary gland duct elongation
GO:0060751	branch elongation involved in mammary gland duct branching
GO:0060753	regulation of mast cell chemotaxis
GO:0060754	positive regulation of mast cell chemotaxis
GO:0060756	foraging behavior
GO:0060759	regulation of response to cytokine stimulus
GO:0060760	positive regulation of response to cytokine stimulus
GO:0060761	negative regulation of response to cytokine stimulus
GO:0060762	regulation of branching involved in mammary gland duct morphogenesis
GO:0060763	mammary duct terminal end bud growth
GO:0060764	cell-cell signaling involved in mammary gland development
GO:0060765	regulation of androgen receptor signaling pathway
GO:0060766	negative regulation of androgen receptor signaling pathway
GO:0060767	epithelial cell proliferation involved in prostate gland development
GO:0060768	regulation of epithelial cell proliferation involved in prostate gland development
GO:0060769	positive regulation of epithelial cell proliferation involved in prostate gland development
GO:0060770	negative regulation of epithelial cell proliferation involved in prostate gland development
GO:0060771	phyllotactic patterning
GO:0060772	leaf phyllotactic patterning
GO:0060774	auxin mediated signaling pathway involved in phyllotactic patterning
GO:0060775	planar cell polarity pathway involved in gastrula mediolateral intercalation
GO:0060776	simple leaf morphogenesis
GO:0060782	regulation of mesenchymal cell proliferation involved in prostate gland development
GO:0060783	mesenchymal smoothened signaling pathway involved in prostate gland development
GO:0060784	regulation of cell proliferation involved in tissue homeostasis
GO:0060785	regulation of apoptosis involved in tissue homeostasis
GO:0060786	regulation of cell differentiation involved in tissue homeostasis
GO:0060788	ectodermal placode formation
GO:0060789	hair follicle placode formation
GO:0060795	cell fate commitment involved in formation of primary germ layer
GO:0060796	regulation of transcription involved in primary germ layer cell fate commitment
GO:0060800	regulation of cell differentiation involved in embryonic placenta development
GO:0060802	epiblast cell-extraembryonic ectoderm cell signaling involved in anterior/posterior axis specification
GO:0060803	BMP signaling pathway involved in mesodermal cell fate specification
GO:0060804	positive regulation of Wnt receptor signaling pathway by BMP signaling pathway
GO:0060806	negative regulation of cell differentiation involved in embryonic placenta development
GO:0060807	regulation of transcription from RNA polymerase II promoter involved in definitive endodermal cell fate specification
GO:0060809	mesodermal to mesenchymal transition involved in gastrulation
GO:0060810	intracellular mRNA localization involved in pattern specification process
GO:0060811	intracellular mRNA localization involved in anterior/posterior axis specification
GO:0060816	random inactivation of X chromosome
GO:0060821	inactivation of X chromosome by DNA methylation
GO:0060823	canonical Wnt receptor signaling pathway involved in neural plate anterior/posterior pattern formation
GO:0060825	fibroblast growth factor receptor signaling pathway involved in neural plate anterior/posterior pattern formation
GO:0060827	regulation of canonical Wnt receptor signaling pathway involved in neural plate anterior/posterior pattern formation
GO:0060828	regulation of canonical Wnt receptor signaling pathway
GO:0060829	negative regulation of canonical Wnt receptor signaling pathway involved in neural plate anterior/posterior pattern formation
GO:0060830	ciliary receptor clustering involved in smoothened signaling pathway
GO:0060831	smoothened signaling pathway involved in dorsal/ventral neural tube patterning
GO:0060832	oocyte animal/vegetal axis specification
GO:0060836	lymphatic endothelial cell differentiation
GO:0060837	blood vessel endothelial cell differentiation
GO:0060838	lymphatic endothelial cell fate commitment
GO:0060839	endothelial cell fate commitment
GO:0060840	artery development
GO:0060841	venous blood vessel development
GO:0060842	arterial endothelial cell differentiation
GO:0060843	venous endothelial cell differentiation
GO:0060844	arterial endothelial cell fate commitment
GO:0060846	blood vessel endothelial cell fate commitment
GO:0060847	endothelial cell fate specification
GO:0060849	regulation of transcription involved in lymphatic endothelial cell fate commitment
GO:0060850	regulation of transcription involved in cell fate commitment
GO:0060853	Notch signaling pathway involved in arterial endothelial cell fate commitment
GO:0060854	patterning of lymph vessels
GO:0060855	venous endothelial cell migration involved in lymph vessel development
GO:0060856	establishment of blood-brain barrier
GO:0060857	establishment of glial blood-brain barrier
GO:0060860	regulation of floral organ abscission
GO:0060862	negative regulation of floral organ abscission
GO:0060867	fruit abscission
GO:0060872	semicircular canal development
GO:0060873	anterior semicircular canal development
GO:0060875	lateral semicircular canal development
GO:0060876	semicircular canal formation
GO:0060879	semicircular canal fusion
GO:0060887	limb epidermis development
GO:0060896	neural plate pattern specification
GO:0060897	neural plate regionalization
GO:0060898	eye field cell fate commitment involved in camera-type eye formation
GO:0060900	embryonic camera-type eye formation
GO:0060901	regulation of hair cycle by canonical Wnt receptor signaling pathway
GO:0060903	positive regulation of meiosis I
GO:0060904	regulation of protein folding in endoplasmic reticulum
GO:0060905	regulation of induction of conjugation upon nitrogen starvation
GO:0060906	negative regulation of chromatin silencing by small RNA
GO:0060907	positive regulation of macrophage cytokine production
GO:0060911	cardiac cell fate commitment
GO:0060912	cardiac cell fate specification
GO:0060913	cardiac cell fate determination
GO:0060914	heart formation
GO:0060915	mesenchymal cell differentiation involved in lung development
GO:0060916	mesenchymal cell proliferation involved in lung development
GO:0060917	regulation of (1->6)-beta-D-glucan biosynthetic process
GO:0060918	auxin transport
GO:0060919	auxin influx
GO:0060920	cardiac pacemaker cell differentiation
GO:0060921	sinoatrial node cell differentiation
GO:0060922	atrioventricular node cell differentiation
GO:0060923	cardiac muscle cell fate commitment
GO:0060926	cardiac pacemaker cell development
GO:0060927	cardiac pacemaker cell fate commitment
GO:0060928	atrioventricular node cell development
GO:0060929	atrioventricular node cell fate commitment
GO:0060931	sinoatrial node cell development
GO:0060932	His-Purkinje system cell differentiation
GO:0060945	cardiac neuron differentiation
GO:0060947	cardiac vascular smooth muscle cell differentiation
GO:0060948	cardiac vascular smooth muscle cell development
GO:0060956	endocardial cell differentiation
GO:0060957	endocardial cell fate commitment
GO:0060958	endocardial cell development
GO:0060959	cardiac neuron development
GO:0060962	regulation of ribosomal protein gene transcription from RNA polymerase II promoter
GO:0060963	positive regulation of ribosomal protein gene transcription from RNA polymerase II promoter
GO:0060964	regulation of gene silencing by miRNA
GO:0060965	negative regulation of gene silencing by miRNA
GO:0060966	regulation of gene silencing by RNA
GO:0060967	negative regulation of gene silencing by RNA
GO:0060968	regulation of gene silencing
GO:0060969	negative regulation of gene silencing
GO:0060971	embryonic heart tube left/right pattern formation
GO:0060972	left/right pattern formation
GO:0060973	cell migration involved in heart development
GO:0060974	cell migration involved in heart formation
GO:0060975	cardioblast migration to the midline involved in heart field formation
GO:0060976	coronary vasculature development
GO:0060977	coronary vasculature morphogenesis
GO:0060978	angiogenesis involved in coronary vascular morphogenesis
GO:0060979	vasculogenesis involved in coronary vascular morphogenesis
GO:0060980	cell migration involved in coronary vasculogenesis
GO:0060981	cell migration involved in coronary angiogenesis
GO:0060982	coronary artery morphogenesis
GO:0060983	epicardium-derived cardiac vascular smooth muscle cell differentiation
GO:0060986	endocrine hormone secretion
GO:0060988	lipid tube assembly
GO:0060992	response to fungicide
GO:0060993	kidney morphogenesis
GO:0060994	regulation of transcription from RNA polymerase II promoter involved in kidney development
GO:0060995	cell-cell signaling involved in kidney development
GO:0060996	dendritic spine development
GO:0060997	dendritic spine morphogenesis
GO:0060998	regulation of dendritic spine development
GO:0060999	positive regulation of dendritic spine development
GO:0061000	negative regulation of dendritic spine development
GO:0061001	regulation of dendritic spine morphogenesis
GO:0061002	negative regulation of dendritic spine morphogenesis
GO:0061003	positive regulation of dendritic spine morphogenesis
GO:0061004	pattern specification involved in kidney development
GO:0061005	cell differentiation involved in kidney development
GO:0061007	hepaticobiliary system process
GO:0061008	hepaticobiliary system development
GO:0061009	common bile duct development
GO:0061010	gall bladder development
GO:0061011	hepatic duct development
GO:0061013	regulation of mRNA catabolic process
GO:0061014	positive regulation of mRNA catabolic process
GO:0061017	hepatoblast differentiation
GO:0061024	membrane organization
GO:0061025	membrane fusion
GO:0061026	cardiac muscle tissue regeneration
GO:0061027	umbilical cord development
GO:0061028	establishment of endothelial barrier
GO:0061029	eyelid development in camera-type eye
GO:0061030	epithelial cell differentiation involved in mammary gland alveolus development
GO:0061031	endodermal digestive tract morphogenesis
GO:0061032	visceral serous pericardium development
GO:0061033	secretion by lung epithelial cell involved in lung growth
GO:0061034	olfactory bulb mitral cell layer development
GO:0061035	regulation of cartilage development
GO:0061036	positive regulation of cartilage development
GO:0061037	negative regulation of cartilage development
GO:0061038	uterus morphogenesis
GO:0061040	female gonad morphogenesis
GO:0061041	regulation of wound healing
GO:0061042	vascular wound healing
GO:0061043	regulation of vascular wound healing
GO:0061044	negative regulation of vascular wound healing
GO:0061045	negative regulation of wound healing
GO:0061046	regulation of branching involved in lung morphogenesis
GO:0061047	positive regulation of branching involved in lung morphogenesis
GO:0061048	negative regulation of branching involved in lung morphogenesis
GO:0061049	cell growth involved in cardiac muscle cell development
GO:0061050	regulation of cell growth involved in cardiac muscle cell development
GO:0061051	positive regulation of cell growth involved in cardiac muscle cell development
GO:0061052	negative regulation of cell growth involved in cardiac muscle cell development
GO:0061053	somite development
GO:0061055	myotome development
GO:0061056	sclerotome development
GO:0061057	peptidoglycan recognition protein signaling pathway
GO:0061058	regulation of peptidoglycan recognition protein signaling pathway
GO:0061059	positive regulation of peptidoglycan recognition protein signaling pathway
GO:0061060	negative regulation of peptidoglycan recognition protein signaling pathway
GO:0061061	muscle structure development
GO:0061062	regulation of nematode larval development
GO:0061063	positive regulation of nematode larval development
GO:0061064	negative regulation of nematode larval development
GO:0061065	regulation of dauer larval development
GO:0061066	positive regulation of dauer larval development
GO:0061067	negative regulation of dauer larval development
GO:0061072	iris morphogenesis
GO:0061073	ciliary body morphogenesis
GO:0061074	regulation of neural retina development
GO:0061075	positive regulation of neural retina development
GO:0061077	chaperone-mediated protein folding
GO:0061078	positive regulation of prostaglandin secretion involved in immune response
GO:0061081	positive regulation of myeloid leukocyte cytokine production involved in immune response
GO:0061082	myeloid leukocyte cytokine production
GO:0061083	regulation of protein refolding
GO:0061084	negative regulation of protein refolding
GO:0061085	regulation of histone H3-K27 methylation
GO:0061086	negative regulation of histone H3-K27 methylation
GO:0061087	positive regulation of histone H3-K27 methylation
GO:0061088	regulation of sequestering of zinc ion
GO:0061090	positive regulation of sequestering of zinc ion
GO:0061091	regulation of phospholipid translocation
GO:0061092	positive regulation of phospholipid translocation
GO:0061093	negative regulation of phospholipid translocation
GO:0061094	regulation of turning behavior involved in mating
GO:0061096	negative regulation of turning behavior involved in mating
GO:0061097	regulation of protein tyrosine kinase activity
GO:0061098	positive regulation of protein tyrosine kinase activity
GO:0061099	negative regulation of protein tyrosine kinase activity
GO:0061100	lung neuroendocrine cell differentiation
GO:0061101	neuroendocrine cell differentiation
GO:0061102	stomach neuroendocrine cell differentiation
GO:0061103	carotid body glomus cell differentiation
GO:0061104	adrenal chromaffin cell differentiation
GO:0061105	regulation of stomach neuroendocrine cell differentiation
GO:0061106	negative regulation of stomach neuroendocrine cell differentiation
GO:0061107	seminal vesicle development
GO:0061108	seminal vesicle epithelium development
GO:0061110	dense core granule biogenesis
GO:0061113	pancreas morphogenesis
